probability_of_a_match,number_of_rounds,probability_of_win
0.07,68,7.266567357923832e-42
0.07,69,1.878570080919028e-42
0.07,70,4.857025065879338e-43
0.07,71,1.2559052392037263e-43
0.07,72,3.2477738001955444e-44
0.07,73,8.399547503335407e-45
0.07,74,2.172531634521057e-45
0.07,75,5.619728842563889e-46
0.07,76,1.4537931567792898e-46
0.07,77,3.761204098100478e-47
0.07,78,9.731667314413243e-48
0.07,79,2.5181567892147304e-48
0.07,80,6.516472442806439e-49
0.07,81,1.6864590306418803e-49
0.07,82,4.364873374508193e-50
0.07,83,1.1297941969573876e-50
0.07,84,2.9245436597758085e-51
0.07,85,7.57089507284578e-52
0.07,86,1.9600447574826614e-52
0.07,87,5.07473901769782e-53
0.07,88,1.3139829836069787e-53
0.07,89,3.4024632182561703e-54
0.07,90,8.810979524790701e-55
0.07,91,2.2818201235520418e-55
0.07,92,5.909687358435746e-56
0.07,93,1.530639567742859e-56
0.07,94,3.96466189953401e-57
0.07,95,1.0269839316200682e-57
0.07,96,2.660387537376187e-58
0.07,97,6.892066131453199e-59
0.07,98,1.785569536336934e-59
0.07,99,4.626221684450271e-60
0.07,100,1.1986655008132335e-60
0.08,1,0.08
0.08,2,0.018176
0.08,3,0.004525260800000001
0.08,4,0.0011762794496
0.08,5,0.0003135818537369601
0.08,6,8.500149873708895e-05
0.08,7,2.3315280267790387e-05
0.08,8,6.452030601668999e-06
0.08,9,1.7977736938194946e-06
0.08,10,5.036834175747613e-07
0.08,11,1.417522491146343e-07
0.08,12,4.0043010210639306e-08
0.08,13,1.1347443607858853e-08
0.08,14,3.224390907994847e-09
0.08,15,9.183722901134534e-10
0.08,16,2.62110138379314e-10
0.08,17,7.494417270473743e-11
0.08,18,2.1463149477630178e-11
0.08,19,6.1556921628492564e-12
0.08,20,1.7677692407848988e-12
0.08,21,5.082598452355453e-13
0.08,22,1.4628884028223773e-13
0.08,23,4.214649151167155e-14
0.08,24,1.2153495065748493e-14
0.08,25,3.5075139569370745e-15
0.08,26,1.0130446552716736e-15
0.08,27,2.927954267538853e-16
0.08,28,8.468074596853787e-17
0.08,29,2.4505872552888853e-17
0.08,30,7.095829176797078e-18
0.08,31,2.0557376863743496e-18
0.08,32,5.95867056993583e-19
0.08,33,1.7279654859903683e-19
0.08,34,5.0131741801490836e-20
0.08,35,1.4550289137957955e-20
0.08,36,4.2247548975873615e-21
0.08,37,1.2271375794495509e-21
0.08,38,3.5656469691491175e-22
0.08,39,1.0364036472590076e-22
0.08,40,3.013406855248729e-23
0.08,41,8.764318128952515e-24
0.08,42,2.549786220418617e-24
0.08,43,7.420084812351943e-25
0.08,44,2.1598720047558983e-25
0.08,45,6.288631570468535e-26
0.08,46,1.8314225233426106e-26
0.08,47,5.334832488195413e-27
0.08,48,1.55434961744839e-27
0.08,49,4.529689411040907e-28
0.08,50,1.320311074486939e-28
0.08,51,3.8491850202826553e-29
0.08,52,1.1223872843497936e-29
0.08,53,3.273369660205693e-30
0.08,54,9.548229205648443e-31
0.08,55,2.7856294708263657e-31
0.08,56,8.128192849123069e-32
0.08,57,2.372096386678961e-32
0.08,58,6.923664547893066e-33
0.08,59,2.0211700156468473e-33
0.08,60,5.901069337458761e-34
0.08,61,1.7231283719516062e-34
0.08,62,5.032244026919171e-35
0.08,63,1.4698096227533276e-35
0.08,64,4.293525904255255e-36
0.08,65,1.2543509128257449e-36
0.08,66,3.6650035779102674e-37
0.08,67,1.0709733017215583e-37
0.08,68,3.129899116452586e-38
0.08,69,9.148041271001998e-39
0.08,70,2.674056982121422e-39
0.08,71,7.817298715795979e-40
0.08,72,2.28552017428645e-40
0.08,73,6.682739855731303e-41
0.08,74,1.954177848622111e-41
0.08,75,5.714951981541174e-42
0.08,76,1.671471710049919e-42
0.08,77,4.889027009645189e-43
0.08,78,1.4301508804221043e-43
0.08,79,4.1838526805859253e-44
0.08,80,1.224066856792798e-44
0.08,81,3.581519161838807e-45
0.08,82,1.0480017099278379e-45
0.08,83,3.0668214487697137e-46
0.08,84,8.975239070883347e-47
0.08,85,2.6268414650942604e-47
0.08,86,7.688671408625662e-48
0.08,87,2.2505966051255674e-48
0.08,88,6.588283555162336e-49
0.08,89,1.928743769942287e-49
0.08,90,5.646818218519808e-50
0.08,91,1.6533298343151552e-50
0.08,92,4.8410665060041473e-51
0.08,93,1.4175810240873871e-51
0.08,94,4.151255763072017e-52
0.08,95,1.2157249505426028e-52
0.08,96,3.5605320707714664e-53
0.08,97,1.0428400914089668e-53
0.08,98,3.054522351522983e-54
0.08,99,8.947283692789605e-55
0.08,100,2.620963509486062e-55
0.09,1,0.09
0.09,2,0.022842
0.09,3,0.0063412794
0.09,4,0.0018365826761999999
0.09,5,0.0005453113603227299
