Product code,Station number,Year,Month,Monthly Precipitation Total (millimetres),Quality
IDCJAC0001,066052,1936,01,102.3,Y
IDCJAC0001,066052,1936,02,128.6,Y
IDCJAC0001,066052,1936,03,102.8,Y
IDCJAC0001,066052,1936,04,44.2,Y
IDCJAC0001,066052,1936,05,66.4,Y
IDCJAC0001,066052,1936,06,89.8,Y
IDCJAC0001,066052,1936,07,21.9,Y
IDCJAC0001,066052,1936,08,43.5,Y
IDCJAC0001,066052,1936,09,48.3,Y
IDCJAC0001,066052,1936,10,26.7,Y
IDCJAC0001,066052,1936,11,7.4,Y
IDCJAC0001,066052,1936,12,108.2,Y
IDCJAC0001,066052,1937,01,56.8,Y
IDCJAC0001,066052,1937,02,44.4,Y
IDCJAC0001,066052,1937,03,245.6,Y
IDCJAC0001,066052,1937,04,162.7,Y
IDCJAC0001,066052,1937,05,24.6,Y
IDCJAC0001,066052,1937,06,427.2,Y
IDCJAC0001,066052,1937,07,102.4,Y
IDCJAC0001,066052,1937,08,128.4,Y
IDCJAC0001,066052,1937,09,12.6,Y
IDCJAC0001,066052,1937,10,95.8,Y
IDCJAC0001,066052,1937,11,142.1,Y
IDCJAC0001,066052,1937,12,50.6,Y
IDCJAC0001,066052,1938,01,304.6,Y
IDCJAC0001,066052,1938,02,93.2,Y
IDCJAC0001,066052,1938,03,40.5,Y
IDCJAC0001,066052,1938,04,91.6,Y
IDCJAC0001,066052,1938,05,87.2,Y
IDCJAC0001,066052,1938,06,10.7,Y
IDCJAC0001,066052,1938,07,96.3,Y
IDCJAC0001,066052,1938,08,232.5,Y
IDCJAC0001,066052,1938,09,81.2,Y
IDCJAC0001,066052,1938,10,84.8,Y
IDCJAC0001,066052,1938,11,29.9,Y
IDCJAC0001,066052,1938,12,10.4,Y
IDCJAC0001,066052,1939,01,94.5,Y
IDCJAC0001,066052,1939,02,2.8,Y
IDCJAC0001,066052,1939,03,237.9,Y
IDCJAC0001,066052,1939,04,110.7,Y
IDCJAC0001,066052,1939,05,147.7,Y
IDCJAC0001,066052,1939,06,16.0,Y
IDCJAC0001,066052,1939,07,42.9,Y
IDCJAC0001,066052,1939,08,64.0,Y
IDCJAC0001,066052,1939,09,78.3,Y
IDCJAC0001,066052,1939,10,71.5,Y
IDCJAC0001,066052,1939,11,50.4,Y
