time,humidity,temperature
16559998, 53.90, 22.60
16579999, 53.90, 22.60
16599999, 54.00, 22.60
16639998, 53.90, 22.60
16679999, 54.00, 22.60
16699999, 54.30, 22.60
16739999, 54.50, 22.70
16759998, 54.40, 22.70
16780000, 54.50, 22.70
16800000, 54.40, 22.60
16819999, 54.50, 22.70
16839999, 54.20, 22.60
16859999, 54.20, 22.70
16880000, 54.30, 22.60
16899999, 54.30, 22.60
16939999, 54.30, 22.60
16959998, 54.40, 22.10
16999999, 54.10, 22.70
17019999, 54.00, 22.70
17039998, 53.90, 22.60
17059999, 53.80, 22.60
17099999, 54.00, 22.60
17139999, 54.00, 22.60
17159999, 54.30, 22.60
17179999, 54.20, 22.60
17200000, 53.90, 22.60
17219998, 53.90, 22.60
17239998, 54.00, 22.60
17279998, 54.00, 22.60
17299998, 54.20, 22.60
17319999, 54.40, 22.60
17340000, 54.30, 22.60
17360000, 54.40, 22.60
17379998, 54.40, 22.60
17400000, 54.40, 22.60
17439998, 54.50, 22.60
17459999, 52.70, 18.90
17479999, 54.30, 22.60
17499999, 54.30, 22.60
17520000, 54.30, 22.60
17539999, 54.30, 22.60
17559999, 54.20, 22.60
17579999, 54.30, 22.60
17600000, 54.10, 22.60
17619999, 54.10, 22.60
17639999, 54.20, 22.60
17659999, 54.30, 22.60
17699998, 54.40, 22.60
17739999, 54.30, 22.60
17760000, 54.50, 22.90
17779999, 54.00, 22.70
17800000, 54.20, 22.70
17819999, 54.20, 22.70
17840000, 52.70, 19.40
17859999, 54.30, 22.70
17879999, 54.20, 22.70
17899999, 54.20, 22.90
17920000, 53.90, 22.70
17939998, 54.10, 22.70
17980000, 54.20, 22.70
18000000, 54.10, 22.70
18039998, 54.20, 22.70
18059999, 54.20, 22.70
18079998, 54.30, 22.70
18099999, 54.10, 22.70
18119998, 54.00, 22.70
18160000, 54.10, 22.70
18199999, 54.20, 22.70
18219999, 54.30, 22.70
18239998, 54.20, 22.70
18259999, 54.20, 22.70
18279999, 54.10, 22.70
18319998, 54.20, 22.70
18359999, 54.20, 22.70
18379999, 54.10, 22.70
18419999, 54.30, 22.70
18439998, 54.30, 22.60
18459999, 54.50, 22.70
18480000, 54.50, 22.60
18499999, 54.50, 22.70
18540000, 54.50, 22.70
18559998, 54.30, 22.60
18579999, 54.30, 22.70
18599998, 54.30, 22.70
18619999, 54.40, 22.70
18640000, 54.40, 22.60
18659999, 54.50, 22.70
18679999, 54.40, 22.60
18699999, 54.40, 22.60
18719998, 54.50, 22.70
18739999, 54.40, 22.70
18779999, 54.50, 22.70
18799998, 54.50, 22.70
18819999, 54.50, 22.70
18839998, 54.50, 22.60
